,yoji,yj_pos,yj_reading,j1,j1_Index,j1_Strokes,j1_Meanings,j1_Readings,j1_krad,j1_Kanji,j1_Grade,j1_Kanji Classification,j1_JLPT-test,j1_Kanji Frequency with Proper Nouns,j1_Kanji Frequency without Proper Nouns,j1_Symmetry,j2,j2_Index,j2_Strokes,j2_Meanings,j2_Readings,j2_krad,j2_Kanji,j2_Grade,j2_Kanji Classification,j2_JLPT-test,j2_Kanji Frequency with Proper Nouns,j2_Kanji Frequency without Proper Nouns,j2_Symmetry,j3,j3_Index,j3_Strokes,j3_Meanings,j3_Readings,j3_krad,j3_Kanji,j3_Grade,j3_Kanji Classification,j3_JLPT-test,j3_Kanji Frequency with Proper Nouns,j3_Kanji Frequency without Proper Nouns,j3_Symmetry,j4,j4_Index,j4_Strokes,j4_Meanings,j4_Readings,j4_krad,j4_Kanji,j4_Grade,j4_Kanji Classification,j4_JLPT-test,j4_Kanji Frequency with Proper Nouns,j4_Kanji Frequency without Proper Nouns,j4_Symmetry,bg1,bg1_Meanings,bg1_Readings,bg2,bg2_Meanings,bg2_Readings
653,未来永劫,['n-t'],みらいえいごう,未,1142,5,"[' the Sheep (eighth sign of the Chinese zodiac)/the Ram/the Goat hour of the Sheep (around 2pm, 1-3pm, or 2-4pm) south-southwest sixth month of the lunar calendar,', ' not yet/un-]']","['ひつじ', 'み']","['｜', '二', 'ハ', '木', '亠']",['未'],[4],['象形 Pictographic'],[3],[73951],[72897],['R'],来,1159,7,"[' next (year, spring, etc.)/coming since (last month, etc.)/for (20 years, etc.)]']",['らい'],"['｜', '二', '米', '亠', '木']",['来'],[2],['象形 Pictographic'],[5],[314119],[308159],['S'],永,1290,5,"[' eternity/permanence/perpetuity Eikyū era (1113.7.13-1118.4.3),', ' long]']","['えいきゅう', 'なが']","['水', '丶']",['永'],[5],['象形 Pictographic'],[2],[42048],[8370],['R'],劫,259,7,"[' kalpa (eon, aeon) ko (in go)/position that allows for eternal capture and recapture of the same stones]']",['こう'],"['土', '力', '厶']",,,,,,,,未来,[' the future (usually distant) future tense the world to come]'],['みらい'],未来,[' the future (usually distant) future tense the world to come]'],['みらい']
654,磊磊落落,"['n,adj-na']",らいらいらくらく,磊,1681,15,[],[],"['口', '石']",,,,,,,,磊,1681,15,[],[],"['口', '石']",,,,,,,,落,2037,12,[' slip/omission outcome/final result/the end punch line (of a joke)]'],"['おち', 'ち']","['口', '氵', '夂', '⺾']",['落'],[3],['形声 Phonetic'],[3],[135487],[131556],['S'],落,2037,12,[' slip/omission outcome/final result/the end punch line (of a joke)]'],"['おち', 'ち']","['口', '氵', '夂', '⺾']",['落'],[3],['形声 Phonetic'],[3],[135487],[131556],['S'],磊磊,[' large pile of rocks open-heartedness/not being bothered by unimportant things]'],['らいらい'],磊磊,[' large pile of rocks open-heartedness/not being bothered by unimportant things]'],['らいらい']
655,豪放磊落,"['n,adj-na']",ごうほうらいらく,豪,2265,14,"[' strong/hard/manly,', ' tremendous/huge,', ' Australia]']","['ごう', 'えら', 'ごう']","['口', '亠', '冖', '豕']",['豪'],[7],['形声 Phonetic'],[1],[31718],[15193],['R'],放,1035,8,[],[],"['方', '攵']",['放'],[3],['会意 Com. Ideographic'],[3],[153676],[147578],['R'],磊,1681,15,[],[],"['口', '石']",,,,,,,,落,2037,12,[' slip/omission outcome/final result/the end punch line (of a joke)]'],"['おち', 'ち']","['口', '氵', '夂', '⺾']",['落'],[3],['形声 Phonetic'],[3],[135487],[131556],['S'],豪放,[' largehearted/frank/unaffected]'],['ごうほう'],豪放,[' largehearted/frank/unaffected]'],['ごうほう']
658,沈魚落雁,['n'],ちんぎょらくがん,沈,1305,7,[],[],"['氵', '尢']",['沈'],[7],['形声 Phonetic'],[2],[14895],[14890],['R'],魚,2686,11,[' fish]'],['さかな'],"['魚', '田', '灬']",['魚'],[2],['象形 Pictographic'],[4],[17300],[14588],['S'],落,2037,12,[' slip/omission outcome/final result/the end punch line (of a joke)]'],"['おち', 'ち']","['口', '氵', '夂', '⺾']",['落'],[3],['形声 Phonetic'],[3],[135487],[131556],['S'],雁,2550,12,"[' wild goose glans/head of a penis,', ' call of a wild goose wild goose (esp. a lesser white-fronted goose, Anser erythropus) tea made from twigs of high-quality tea plants (esp. gyokuro)/high-grade kukicha (esp. from gyokuro)]']","['がん', 'かりがね', 'が']","['⺅', '厂', '隹']",,,,,,,,沈魚,[],[],沈魚,[],[]
659,洒洒落落,"['n,adj-na']",しゃしゃらくらく,洒,1331,9,[],[],"['氵', '西']",,,,,,,,洒,1331,9,[],[],"['氵', '西']",,,,,,,,落,2037,12,[' slip/omission outcome/final result/the end punch line (of a joke)]'],"['おち', 'ち']","['口', '氵', '夂', '⺾']",['落'],[3],['形声 Phonetic'],[3],[135487],[131556],['S'],落,2037,12,[' slip/omission outcome/final result/the end punch line (of a joke)]'],"['おち', 'ち']","['口', '氵', '夂', '⺾']",['落'],[3],['形声 Phonetic'],[3],[135487],[131556],['S'],洒洒,[' quick simple/neat]'],['しゃしゃ'],洒洒,[' quick simple/neat]'],['しゃしゃ']
660,満目蕭条,"['adj-t,adv-to']",まんもくしょうじょう,満,1395,12,"[' being full (counting) completed years (e.g. when calculating age) full (years, months, etc.) Manchuria]']",['まん'],"['｜', '一', '氵', '二', '冂', '山']",['満'],[4],['形声 Phonetic'],[3],[85439],[76938],['R'],目,1631,5,"[' eye/eyeball eyesight/sight/vision look/stare/gaze/glance notice/attention/observation/eyes (of the world, public, etc.) an experience viewpoint discrimination/discernment/judgement/eye (e.g. for quality) appearance chance to succeed/possibility 10. spacing (between crossed strands of a net, mesh, etc.)/opening/stitch/texture/weave 11. grain (of wood) 12. eye (of a storm, needle, etc.) 13. intersection (on a go board)/square (on a chess board) 14. dot (on a dice)/pip/rolled number 15. graduation/division (of a scale) 16. tooth (of a saw, comb, etc.) 17. ordinal number suffix 18. somewhat/-ish 19. point (e.g. of change),', ' order item (of a budget revision, etc.) counter for go pieces/counter for surrounded positions (in go)]']","['め', 'もく']",['目'],['目'],[1],['象形 Pictographic'],[4],[510537],[503519],['P'],蕭,2066,16,[' Japanese mugwort (Artemisia princeps) mugwort (any plant of genus Artemisia)/wormwood/sagebrush]'],['よもぎ'],"['｜', 'ノ', 'ヨ', '米', '⺾', '聿']",,,,,,,,条,1158,7,"[' muscle/tendon/sinew vein/artery fiber/fibre/string line/stripe/streak reason/logic plot/storyline lineage/descent school (e.g. of scholarship or arts) aptitude/talent 10. source (of information, etc.)/circle/channel 11. well-informed person (in a transaction) 12. logical move (in go, shogi, etc.) 13. ninth vertical line 14. seam on a helmet 15. gristly fish paste (made of muscle, tendons, skin, etc.) 16. social position/status 17. on (a river, road, etc.)/along 18. counter for long thin things/counter for roads or blocks when giving directions 19. (Edo period) counter for hundreds of mon (obsolete unit of currency),', ' article (in document)/provision stripe/streak/line although/though since/as/because/inasmuch as,', ' passage/paragraph]']","['すじ', 'じょう', 'くだり']","['木', '夂', '攵']",['条'],[5],['会意 Com. Ideographic'],[1],[87689],[82845],['S'],満目,[' as far as the eye can see]'],['まんもく'],満目,[' as far as the eye can see]'],['まんもく']
667,英姿颯爽,"['adj-t,adv-to']",えいしさっそう,英,2016,8,"[' calyx/corolla,', ' Britain/British]']","['はなぶさ', 'えい']","['ノ', '⺾', '大']",['英'],[4],['形声 Phonetic'],[4],[129557],[25070],['R'],姿,550,9,[' figure/form/shape appearance/dress/guise state/condition/picture/image form (of a waka) dressed in .../wearing ...]'],['すがた'],"['欠', '女', '冫']",['姿'],[6],['形声 Phonetic'],[1],[92831],[92823],['S'],颯,2624,14,[],[],"['風', '立']",,,,,,,,爽,1490,11,[],[],"['一', '人', '亠']",['爽'],[7],['会意 Com. Ideographic'],[1],[892],[889],['S'],英姿,[' gallant figure/impressive figure/noble appearance]'],['えいし'],英姿,[' gallant figure/impressive figure/noble appearance]'],['えいし']
670,杜撰脱漏,['n'],ずさんだつろう,杜,1155,7,[' forest shrine grove]'],['もり'],"['土', '木']",,,,,,,,撰,1017,15,"[' anthology (of poetry, etc.)/compilation/collection/selection]']",['せん'],"['｜', '二', 'ハ', '已', '扌']",,,,,,,,脱,1959,11,"[' de- (indicating reversal, removal, etc.)/post-]']",['だつ'],"['月', '口', '并', '儿']",['脱'],[7],['形声 Phonetic'],[1],[41449],[41449],['R'],漏,1415,14,[],[],"['雨', '氵', '尸']",['漏'],[7],['形声 Phonetic'],[1],[19756],[19756],['S'],杜撰,[' careless/sloppy/faulty using unreliable sources (in a piece of writing)/piece of writing with unreliable sources or many errors]'],['ずさん'],杜撰,[' careless/sloppy/faulty using unreliable sources (in a piece of writing)/piece of writing with unreliable sources or many errors]'],['ずさん']
672,一家眷属,['n'],いっかけんぞく,一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],家,602,10,"[' house/residence/dwelling family/household lineage/family name,', "" house one's house/one's home/one's family/one's household,"", ' house (e.g. of Tokugawa)/family,', ' (something) shop somebody who sells (something) or works as (something) somebody with a (certain) personality trait house roof,', ' -ist/-er,', "" 's house/'s home]""]","['いえ', 'うち', 'け', 'や', 'か', 'んち', 'ん']","['宀', '豕']",['家'],[2],['会意 Com. Ideographic'],[4],[390197],[378801],['S'],眷,1645,11,[],[],"['人', '大', '二', '并', '目']",,,,,,,,属,653,12,[' genus generic]'],['ぞく'],"['ノ', '尸', '禸']",['属'],[5],['会意 Com. Ideographic'],[1],[44814],[42419],['S'],一家,"["" a family/a household/a home/one's family/whole family (one's own) style/school gang/(yakuza) family]""]",['いっか'],一家,"["" a family/a household/a home/one's family/whole family (one's own) style/school gang/(yakuza) family]""]",['いっか']
674,月下推敲,['n'],げっかすいこう,月,1130,4,"[' moon month,', ' Monday]']","['つき', 'げつ']",['月'],['月'],[1],['象形 Pictographic'],[5],[960443],[951166],['S'],下,9,3,"["" below/down/under/younger (e.g. daughter) bottom beneath/underneath just after/right after inferiority/one's inferior (i.e. one's junior) trade-in preliminary/preparatory,"", "" under (guidance, supervision, rules, the law, etc.) under (a flag, the sun, etc.)/beneath with (e.g. one blow)/on (the promise, condition, assumption, etc. that ...)/in (e.g. the name of) (somebody's) side/(somebody's) location,"", ' lowness (of degree, value, etc.)/inferiority second volume (of two)/third volume (of three),', ' lower reaches (of a river) bottom/lower part lower half (of the body, esp. the privates)/feces (faeces)/urine/menses end/far from the imperial palace (i.e. far from Kyoto, esp. of western Japan) dirty (e.g. dirty jokes, etc.),', ' under (influence, control, conditions, etc. of)/during (war, occupation, etc.)]']","['した', 'もと', 'げ', 'しも', 'か']","['｜', '一', '卜']",['下'],[1],['指事 Ideographic'],[5],[390613],[328608],['S'],推,983,11,[],[],"['扌', '隹']",['推'],[6],['形声 Phonetic'],[1],[66779],[66720],['R'],敲,1048,14,[],[],"['口', '高', '亠', '冂', '攵']",,,,,,,,月下,[' in the moonlight]'],['げっか'],月下,[' in the moonlight]'],['げっか']
678,一世風靡,['n'],いっせいふうび,一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],世,12,5,"[' world/society/public life/lifetime age/era/period/epoch/generation reign/rule the times world (of existence),', ' counter for generations epoch]']","['よ', 'せい']","['｜', '一', '世']",['世'],[3],['象形 Pictographic'],[4],[356337],[337799],['P'],風,2623,9,"["" swing/shake/wave/swinging appearance/behaviour pretence (pretense)/show/pretending (to) going to restaurant, hotel etc. without a reservation or introduction move (dance)/postures lead in (e.g. to a running joke, asking a question)/lead up unsewn part of a hanging sleeve on a traditional Japanese woman's garment counter for swords, blades, etc. not wearing underwear or pants,"", ' wind/breeze/draught/draft manner/behaviour/behavior cold/influenza,', ' method/manner/way/style appearance/air tendency folk song (genre of the Shi Jing) wind (one of the five elements)]']","['ふり', 'り', 'かぜ', 'ふう']","['風', '冂', '虫', 'ノ']",['風'],[2],['形声 Phonetic'],[4],[98812],[95284],['S'],靡,2584,19,[],[],"['非', '麻', '木', '广']",,,,,,,,一世,"[' generation/lifetime the age/the day the First issei/first-generation Japanese (or Korean, etc.),', ' one generation (past, present, or future) a lifetime]']","['いっせい', 'いっせ']",一世,"[' generation/lifetime the age/the day the First issei/first-generation Japanese (or Korean, etc.),', ' one generation (past, present, or future) a lifetime]']","['いっせい', 'いっせ']"
681,燕雀鴻鵠,"['exp,n']",えんじゃくこうこく,燕,1480,16,[' swallow (bird of the Hirundinidae family)/martin barn swallow (Hirundo rustica) younger man involved with an older woman/boy toy]'],['つばめ'],"['口', '匕', '灬', '爿', '⺾']",,,,,,,,雀,2549,11,[' tree sparrow (Passer montanus) talkative person/knowledgeable person]'],['すずめ'],"['ノ', '小', '隹']",,,,,,,,鴻,2711,17,"[' bean goose (Anser fabalis),', ' large bird peng (in Chinese mythology, giant bird said to transform from a fish) fenghuang (Chinese phoenix)]']","['ひしくい', 'おおとり']","['工', '氵', '鳥', '灬']",,,,,,,,鵠,2713,18,"[' swan,', ' swan bullseye]']","['くぐい', 'こく']","['ノ', '口', '鳥', '土', '灬']",,,,,,,,燕雀,[' small birds]'],['えんじゃく'],燕雀,[' small birds]'],['えんじゃく']
690,低徊趣味,['n'],ていかいしゅみ,低,87,7,"[' low (level, value, price, etc.)]']",['てい'],"['⺅', '氏']",['低'],[4],['形声 Phonetic'],[2],[91396],[91396],['R'],徊,773,9,[],[],"['口', '囗', '彳']",,,,,,,,趣,2307,15,[' meaning/tenor/gist effect/influence appearance/aspect grace/charm/refinement/taste/elegance]'],['おもむき'],"['耳', '走', '土', '又']",['趣'],[7],['形声 Phonetic'],[1],[13442],[13389],['S'],味,365,8,"[' flavor/flavour/taste charm/appeal/uniqueness/attractiveness experience/taste (e.g. of victory) smart/clever/witty/strange,', ' (sense of) taste counter for food, drink, medicine, etc.]']","['あじ', 'み']","['｜', '口', '二', 'ハ', '木', '亠']",['味'],[3],['形声 Phonetic'],[4],[112407],[109252],['P'],低徊,[' going about immersed or absorbed/pacing back and forth meditatively/being deep in thought]'],['ていかい'],低徊,[' going about immersed or absorbed/pacing back and forth meditatively/being deep in thought]'],['ていかい']
691,槿花一日,['n'],きんかいちじつ,槿,1235,15,[' rose of Sharon (Hibiscus syriacus)/Korean rose]'],['むくげ'],"['土', '二', '木', '⺾']",,,,,,,,花,2007,7,[' flower/blossom/bloom/petal cherry blossom beauty blooming (esp. of cherry blossoms) ikebana hanafuda (the) best glorious/lovely]'],['はな'],"['⺅', '匕', '⺾']",['花'],[1],['形声 Phonetic'],[4],[69449],[48962],['R'],一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],日,1075,4,"["" day/days sun/sunshine/sunlight (the) day/daytime/daylight date/deadline (past) days/time (e.g. of one's childhood) case (esp. unfortunate)/event,"", ' Sunday day (of the month) counter for days Japan,', ' day of month counter for days]']","['ひ', 'にち', 'か']",['日'],['日'],[1],['象形 Pictographic'],[5],[2817613],[1855755],['S'],槿花,[],[],槿花,[],[]
692,金襴緞子,['n'],きんらんどんす,金,2461,8,"[' money metal,', ' gold (Au)/golden (color)/gold (medal, cup) valuable/of highest value money/gold coin Friday metal (fourth of the five elements) Jin dynasty (China, 1115-1234)/Chin dynasty/Jurchen dynasty gold general testicles karat/carat,', ' gold gold coin gold colour (color)]']","['かね', 'きん', 'こがね']",['金'],['金'],[1],['象形 Pictographic'],[5],[589350],[516324],['S'],襴,2164,22,[' horizontally-wrapped fabric forming the bottom part of some traditional Japanese clothing]'],['らん'],"['衤', '日', '木', '門']",,,,,,,,緞,1857,15,[],[],"['｜', '糸', '幺', '小', '殳', '几', '又']",,,,,,,,子,567,3,"[' child young (animal) young woman/young geisha offshoot interest new shares player who is not a dealer (in cards, mahjong, etc.) bird egg -er (often of young women),', ' the Rat (first sign of the Chinese zodiac) hour of the Rat (around midnight, 11pm to 1am, or 12 midnight to 2am) north eleventh month of the lunar calendar,', ' fruit/nut seed (in broth) pieces of meat, vegetable, etc. content/substance,', ' child (esp. a boy) viscount founder of a school of thought (esp. Confucius)/master masters and philosophers (categorization of Chinese classical literature) you -er (i.e. man who spends all his time doing...),', ' honorific (or familiar) suffix used after a name,', ' child interest]']","['こ', 'ね', 'み', 'し', 'す', 'こう']",['子'],['子'],[1],['象形 Pictographic'],[5],[787533],[505793],['P'],金襴,[' gold brocade]'],['きんらん'],金襴,[' gold brocade]'],['きんらん']
694,蒟蒻問答,['n'],こんにゃくもんどう,蒟,2046,13,[],[],"['口', '立', '勹', '⺾']",,,,,,,,蒻,2049,13,[],[],"['弓', '冫', '⺾']",,,,,,,,問,397,11,"[' question/query,', ' counter for questions]']","['とい', 'い', 'もん']","['口', '門']",['問'],[3],['会意 Com. Ideographic'],[4],[433896],[433569],['P'],答,1772,12,[' answer/reply/response/solution]'],"['こたえ', 'え']","['口', '竹', '𠆢']",['答'],[2],['形声 Phonetic'],[4],[74725],[74694],['S'],蒟蒻,"["" konnyaku (Amorphophallus konjac)/konjac/devil's tongue konnyaku jelly/konjac jelly/devil's tongue jelly]""]",['こんにゃく'],蒟蒻,"["" konnyaku (Amorphophallus konjac)/konjac/devil's tongue konnyaku jelly/konjac jelly/devil's tongue jelly]""]",['こんにゃく']
700,街談巷説,['n'],がいだんこうせつ,街,2126,12,"[' ... street/... quarter/... district,', ' town/block/neighbourhood/neighborhood downtown/main street street/road 109.09 m99 hectares]']","['がい', 'まち']","['行', '土', '彳']",['街'],[4],['形声 Phonetic'],[1],[36634],[35407],['S'],談,2228,15,[' talk/story/conversation]'],['だん'],"['火', '言']",['談'],[3],['形声 Phonetic'],[3],[135061],[129173],['P'],巷,687,9,"[' the public/the street (e.g. ""word on the street"") street/district/quarters location (e.g. of a battle)/scene (e.g. of carnage) divide (e.g. between life and death) fork (in a road)/crossroads]']",['ちまた'],"['ハ', '已', '井']",,,,,,,,説,2221,14,[' theory/doctrine opinion/view rumour/rumor/gossip/hearsay]'],['せつ'],"['言', '口', '并', '儿']",['説'],[4],['形声 Phonetic'],[3],[277598],[277566],['P'],街談,[],[],街談,[],[]
705,吃驚仰天,"['n,vs']",きっきょうぎょうてん,吃,340,6,"['[チー', ' forming a chow by picking up a tile discarded by another player]']",[],"['乙', '口']",,,,,,,,驚,2664,22,[],[],"['口', '馬', '勹', '夂', '⺾', '攵']",['驚'],[7],['形声 Phonetic'],[1],[20764],[20712],['S'],仰,65,6,[],[],"['⺅', '卩']",['仰'],[7],['形声 Phonetic'],[1],[6430],[5769],['S'],天,514,4,"[' sky heaven God svarga (heaven-like realm visited as a stage of death and rebirth) deva (divine being of Buddhism) top (of a book) sole (of a Japanese sandal) beginning/start tempura,', ' sky]']","['てん', 'あめ']","['一', '大']",['天'],[1],['象形 Pictographic'],[5],[114146],[86565],['R'],吃驚,"[' to be surprised/to be amazed/to be frightened/to be astonished/to get startled/to jump surprise (e.g. surprise party),', ' surprise]']","['びっくり', 'きっきょう']",吃驚,"[' to be surprised/to be amazed/to be frightened/to be astonished/to get startled/to jump surprise (e.g. surprise party),', ' surprise]']","['びっくり', 'きっきょう']"
707,尊皇攘夷,['n'],そんのうじょうい,尊,627,12,"[' zun (ancient Chinese wine vessel, usu. made of bronze) honorific prefix referring to the listener counter for buddhas,', ' Lord/Highness you,', ' value/preciousness/nobility]']","['そん', 'みこと', 'とうと']","['寸', '酉', '并']",['尊'],[6],['会意 Com. Ideographic'],[2],[14935],[13921],['R'],皇,1618,9,[' divine/imperial]'],['すめ'],"['王', '白']",['皇'],[6],['象形 Pictographic'],[1],[43267],[36432],['R'],攘,1028,20,[],[],"['衣', '二', 'ハ', '亠', '扌']",,,,,,,,夷,518,6,"[' peoples formerly of northern Japan with distinct language and culture (i.e. the Ainu) provincial (i.e. a person who lives far from the city) brutish, unsophisticated warrior (esp. used by Kyoto samurai to refer to samurai from eastern Japan) foreigner/barbarian,', ' Ebisu/god of fishing and commerce,', ' barbarian]']","['えびす', 'えびす', 'い']","['ノ', '一', '弓', '大']",,,,,,,,尊皇,[' reverence for the emperor/advocate of imperial rule]'],['そんのう'],尊皇,[' reverence for the emperor/advocate of imperial rule]'],['そんのう']
710,点滴穿石,"['exp,n']",てんてきせんせき,点,1456,9,"[' dot/point/mark gidayū musicians (in kabuki),', ' dot/spot/point/speck/mark mark (in an exam, etc.)/grade/score/points point (in a game)/score/goal/run point (in geometry) point/aspect/matter/detail/part/respect/way/viewpoint (punctuation) mark (e.g. comma, period, decimal point)/dot ""dot"" stroke (in a Chinese character) counter for points, marks, goals, etc. counter for goods, items, articles of clothing, works of art, etc.,', ' dot/point/mark tip/gratuity a little/paltry/piddling/mere]']","['ちょぼ', 'てん', 'ぽち']","['口', '卜', '灬']",['点'],[2],['形声 Phonetic'],[3],[364985],[364938],['P'],滴,1411,14,"[' drop (e.g. of water)/drip,', ' dripping/drop,', ' counter for drops of liquid]']","['しずく', 'たらし', 'らし', 'てき']","['口', '十', '氵', '并', '立', '亠', '冂', '滴']",['滴'],[7],['形声 Phonetic'],[2],[2888],[2876],['S'],穿,1741,10,[],[],"['牙', '穴', '儿', '宀']",,,,,,,,石,1667,5,"[' stone jewel/precious stone flint (in a lighter) stone (in go) stone (in the bladder, kidney etc.)/calculus rock (in rock-paper-scissors)/stone,', "" koku/traditional unit of volume, approx. 180.4 litres measure of a Japanese-style boat's loading capacity (approx. 278.26 liters),"", ' counter for jewels in a watch counter for transistors, diodes, etc. in an electronic product]']","['いし', 'こく', 'せき']","['口', '石']",['石'],[1],['会意 Com. Ideographic'],[3],[156574],[59831],['S'],点滴,[' raindrops/falling drop of water intravenous drip/IV/drip-feed]'],['てんてき'],点滴,[' raindrops/falling drop of water intravenous drip/IV/drip-feed]'],['てんてき']
722,確乎不抜,['n'],かっこふばつ,確,1680,15,"["" sure/certain/positive/definite reliable/trustworthy/safe/sound/firm/accurate/correct/exact If I'm not mistaken/If I remember correctly/If I remember rightly,"", ' certain/definite]']","['たしか', 'か', 'かく']","['口', '石', '宀', '隹']",['確'],[5],['形声 Phonetic'],[3],[178948],[178948],['R'],乎,23,5,[],[],"['ノ', '一', '并', '亅']",,,,,,,,不,10,4,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']","['｜', 'ノ', '一', '丶']",['不'],[4],['仮借 Loan'],[4],[379808],[375009],['R'],抜,935,7,[],[],"['夂', '亠', '扌', '又']",['抜'],[7],['形声 Phonetic'],[3],[69134],[69111],['S'],確乎,[' firm/unshakeable/resolute]'],['かっこ'],確乎,[' firm/unshakeable/resolute]'],['かっこ']
726,波濤万里,['n'],はとうばんり,波,1324,8,"[' wave ups and downs,', ' Poland,', ' counter for waves (of a repeated occurrence)]']","['なみ', 'ぽ', 'は']","['氵', '皮', '又']",['波'],[3],['形声 Phonetic'],[2],[56685],[38273],['S'],濤,1435,17,[' wave ups and downs]'],['なみ'],"['口', '工', '士', '氵', '寸']",,,,,,,,万,5,3,"[' completely/absolutely/totally,', ' 10,000/ten thousand myriad everything/all various]']","['ばん', 'まん']","['｜', 'ノ', '一']",['万'],[2],['象形 Pictographic'],[5],[409412],[404560],['R'],里,2457,7,"["" village/hamlet countryside/country home (of one's parents, etc.)/hometown one's origins/one's upbringing/one's past,"", ' Japanese league/ri/old Japanese unit of distance, approx.927km or44 miles neighbourhood (under the ritsuryo system; orig. of 50 homes) unit of area (approx. 654m by 654m)]']","['さと', 'り']",['里'],['里'],[2],['会意 Com. Ideographic'],[0],[45081],[15662],['S'],波濤,[' surging sea/rough sea/large waves]'],['はとう'],波濤,[' surging sea/rough sea/large waves]'],['はとう']
730,独立不羈,['n'],どくりつふき,独,1518,9,[' Germany]'],['どく'],"['虫', '犭']",['独'],[5],['形声 Phonetic'],[1],[102357],[85527],['R'],立,1752,5,[],[],['立'],['立'],[1],['会意 Com. Ideographic'],[4],[502495],[460112],['S'],不,10,4,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']","['｜', 'ノ', '一', '丶']",['不'],[4],['仮借 Loan'],[4],[379808],[375009],['R'],羈,1891,24,[' headstall/headgear]'],['おもがい'],"['革', '馬', '罒']",,,,,,,,独立,"["" independence/self-reliance/supporting oneself/being on one's own independence (e.g. of a nation)/freedom separation/isolation]""]",['どくりつ'],独立,"["" independence/self-reliance/supporting oneself/being on one's own independence (e.g. of a nation)/freedom separation/isolation]""]",['どくりつ']
731,往事渺茫,"['adj-t,adv-to']",おうじびょうぼう,往,767,8,[],[],"['王', '丶', '彳']",['往'],[5],['形声 Phonetic'],[1],[8776],[8687],['R'],事,37,8,"["" thing/matter incident/occurrence/event/something serious/trouble/crisis circumstances/situation/state of affairs work/business/affair after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to nominalizing suffix pretending to .../playing make-believe ... alias/also known as/otherwise known as/or necessity/need 10. you should .../I advise that you .../it's important to ...,"", ' individual concrete phenomenon (as opposed to a general principle),', ' nominalizing suffix pretending to .../playing make-believe ...]']","['こと', 'じ', 'ごと']","['一', '口', '亅', 'ヨ']",['事'],[3],['会意 Com. Ideographic'],[4],[934182],[925136],['P'],渺,1388,12,[' boundless/limitless/vast/broad]'],['びょう'],"['ノ', '氵', '小', '目']",,,,,,,,茫,2018,9,[' extensive/spacious vague/hazy]'],['ぼう'],"['亡', '氵', '⺾']",,,,,,,,往事,[' the past/past events]'],['おうじ'],往事,[' the past/past events]'],['おうじ']
732,非難囂囂,"['adj-t,adv-to']",ひなんごうごう,非,2583,8,[' fault/error/mistake going poorly/being disadvantageous/being unfavorable un-/non-/an-]'],['ひ'],['非'],['非'],[5],['象形 Pictographic'],[3],[81808],[81771],['R'],難,2561,18,[' difficulty/trouble/hardship accident/disaster/danger fault/defect criticism]'],['なん'],"['⺾', '隹', '大', '口', '亠']",['難'],[6],['会意 Com. Ideographic'],[3],[127146],[126351],['S'],囂,434,21,[],[],"['一', '口', '自', 'ハ']",,,,,,,,囂,434,21,[],[],"['一', '口', '自', 'ハ']",,,,,,,,非難,[' criticism/blame/censure/attack/reproach]'],['ひなん'],非難,[' criticism/blame/censure/attack/reproach]'],['ひなん']
