,yoji,j1,j1_Meanings,j1_Readings,j2,j2_Meanings,j2_Readings,j3,j3_Meanings,j3_Readings,j4,j4_Meanings,j4_Readings,j12,j12_Meanings,j12_Readings,j34,j34_Meanings,j34_Readings
39,騒然生活,騒,[],[],然,"[' -like,', ' so/like that/in that way,', ' like that/as such yeah/uh-huh]']","['ぜん', 'さ', 'しか']",生,"[' pure/undiluted/raw/crude,', ' raw/uncooked/fresh natural/as it is/unedited/unprocessed unprotected (i.e. not wearing a condom) live (i.e. not recorded) inexperienced/unpolished/green/crude impudence/sauciness unpasteurized beer/draft beer/draught beer just a little/somehow/vaguely/partially/somewhat/half-/semi- irresponsibly/half-baked 10. cash 11. tipsiness,', ' innocent/naive/unsophisticated/inexperienced/green/wet behind the ears birth-,', ' life/living I/me/myself,', ' vital/virile/lively,', ' area of thick growth (of trees, grass, etc.),', ' boiled and half-dried bonito]']","['き', 'なま', 'うぶ', 'せい', 'いく', 'ふ', 'なまり', 'り']",活,[' living/life judo art of resuscitation action/activity]'],['かつ'],騒然,[' noisy/confused/uproarious]'],['そうぜん'],生活,"["" living/life (one's daily existence)/livelihood]""]",['せいかつ']
40,不離地久,不,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']",離,"[' li (one of the trigrams of the I Ching', ' fire, south)]']",['り'],地,"[' earth/ground/land/soil place territory bottom (of a package, book, etc.) earth (one of the five elements),', ' earth/soil/dirt/clay/mud the earth (historically, esp. as opposed to the heavens)/the ground/the land low-quality torinoko-gami (containing mud) (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō),', "" ground/land/earth/soil the region in question/the local area skin texture/fabric/material/weave base/background one's true nature narrative (i.e. descriptive part of a story) real life/actuality (in the game of go) captured territory 10. noh chorus 11. (in Japanese dance) accompaniment music 12. (in Japanese music) basic phrase (usu. repetitive) 13. base part (of multiple shamisens)]""]","['ち', 'つち', 'じ']",久,[],[],不離,[' inseparability]'],['ふり'],地久,[],[]
41,思想一節,思,[],[],想,[' conception/idea/thought samjna (perception)]'],['そう'],一,"[' one best first/foremost beginning/start bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it""), イー', ' one,', ' most,', ' one one]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと']",節,"[' occasion/time section (of a literary work)/paragraph/verse/stanza/passage principle/integrity node (of a plant stem) clause (taxonomical) section,', ' knot (nautical mile per hour),', ' joint/knuckle tune/melody knot (in wood)/node in a bamboo stem part/notable characteristic,', ' characteristic way of speaking,', ' space between two nodes (on bamboo, etc.)]']","['せつ', 'のっと', 'ふし', 'ぶし', 'よ']",思想,[' thought/idea/ideology]'],['しそう'],一節,[' a verse (e.g. in the Bible)/stanza/paragraph/passage/a joint/section/a tune/note/strain/measure]'],['いっせつ']
42,道中手段,道,"[' road/street/way/path/course/route/lane distance/ways (e.g. ""a long ways"") the way (of proper conduct, etc.)/one\'s way/morals teachings (esp. Confucian or Buddhist)/dogma field (of medicine, etc.)/subject way/method/means,', ' road way Buddhist teachings Taoism modern administrative region of Japan (Hokkaido) historical administrative region of Japan (Tokaido, Tosando, etc.) province (Tang-era administrative region of China) province (modern administrative region of Korea),', ' way/road way to .../road to ...]']","['みち', 'どう', 'ち']",中,"[' inside/in among/within center (centre)/middle during/while,', "" inside/within while among/amongst/between we (referring to one's in-group, e.g. company, etc.)/our my spouse imperial palace grounds emperor I (primarily used by women and children)/me,"", ' medium/average/middle moderation middle school China volume two (of three) during (a certain time when one did or is doing something)/under (construction, etc.)/while in/out of (e.g. three out of ten people),', ' through/throughout/in the course of all over or throughout (e.g. a place), チュン', ' red dragon tile winning hand with a pung (or kong) of red dragon tiles]']","['なか', 'うち', 'ちゅう', 'じゅう']",手,"["" hand/arm forepaw/foreleg handle hand/worker/help trouble/care/effort means/way/trick/move/technique/workmanship hand/handwriting kind/type/sort one's hands/one's possession 10. ability to cope 11. hand (of cards) 12. direction 13. move (in go, shogi, etc.)]""]",['て'],段,"[' variable measure of fabric (28.8 cm in width)/for kimonos', ' at least 10 m in length/for haori', ' at least27 m in length/for other clothes', ' at least06 m in length 300 tsubo (991.74 meters square,24506 acres) six ken (10.91 m),', ' step/stair/(flight of) steps/(row of) stitches/columns (of print) grade/rank/level counter for breaks in written language (or speech, etc.)]']","['たん', 'だん']",道中,[' along the way/journey]'],['どうちゅう'],手段,[' means/way/measure]'],['しゅだん']
43,迎新堅固,迎,[],[],新,"[' new/neo- Gregorian calendar Xin (dynasty of China),', ' new/unused new obvious/natural]']","['しん', 'さら']",堅,[' strength/solidity/firmness armour/armor]'],['けん'],固,[],[],迎新,[],[],堅固,[' solid/strong/firm]'],['けんご']
44,之礼解決,之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",礼,[' thanks/gratitude manners/etiquette bow reward/gift ceremony/ritual]'],['れい'],解,[' solution (of equation)]'],['かい'],決,[' decision/vote]'],['けつ'],之礼,[],[],解決,[' settlement/solution/resolution]'],['かいけつ']
45,憎生意識,憎,[],[],生,"[' pure/undiluted/raw/crude,', ' raw/uncooked/fresh natural/as it is/unedited/unprocessed unprotected (i.e. not wearing a condom) live (i.e. not recorded) inexperienced/unpolished/green/crude impudence/sauciness unpasteurized beer/draft beer/draught beer just a little/somehow/vaguely/partially/somewhat/half-/semi- irresponsibly/half-baked 10. cash 11. tipsiness,', ' innocent/naive/unsophisticated/inexperienced/green/wet behind the ears birth-,', ' life/living I/me/myself,', ' vital/virile/lively,', ' area of thick growth (of trees, grass, etc.),', ' boiled and half-dried bonito]']","['き', 'なま', 'うぶ', 'せい', 'いく', 'ふ', 'なまり', 'り']",意,[' feelings/thoughts meaning]'],['い'],識,[' acquaintanceship vijnana/consciousness written by...]'],['しき'],憎生,[],[],意識,"[' consciousness awareness/sense mano-vijnana (mental consciousness, cognizer of sensory information)]']",['いしき']
46,次第勘定,次,"[' next/following/subsequent stage/station,', ' next hypo- (i.e. containing an element with low valence) order/sequence/time/times]']","['つぎ', 'じ']",第,[' prefix for forming ordinal numbers]'],['だい'],勘,[' perception/intuition/the sixth sense]'],['かん'],定,[' certainly/truly]'],['さだ'],次第,[' depending on as soon as/immediately (upon) in accordance with order/program/programme/precedence circumstances/course of events/reason]'],['しだい'],勘定,[' calculation/computation/counting/reckoning/count bill/check/account/payment (of a bill)/settlement (of an account) consideration/allowance]'],['かんじょう']
47,相場人情,相,"["" one's nature/one's destiny custom/tradition/habit,"", ' together/mutually/fellow,', "" appearance/look/countenance a 'seeming' that fortune-tellers relate to one's fortune aspect phase (e.g. solid, liquid and gaseous),"", ' alternately/in succession,', ' minister of state]']","['さが', 'あい', 'そう', 'こもごも', 'しょう']",場,"[' place/spot/space field/discipline/sphere/realm occasion/situation scene (of a play, movie, etc.) session (of the stock market) area in which cards are laid out (in a card game) round (i.e. east, south, etc.) field field (gestalt psychology),', ' place/spot/grounds/arena/stadium/range/course]']","['ば', 'じょう']",人,"[' -ian (e.g. Italian)/-ite (e.g. Tokyoite)/indicates nationality, race, origin, etc. -er (e.g. performer, etc.)/person working with .../indicates expertise (in a certain field) (usu. in compound words) man/person/people,', ' person,', ' man/person human being/mankind/people human (Homo sapiens)/humans as a species character/personality man of talent/true man another person/other people/others adult,', ' counter for people person]']","['じん', 'と', 'ひと', 'にん']",情,[' feelings/emotion/sentiment compassion/sympathy passion/affection/love the way things really are/the actual situation]'],['じょう'],相場,[' market price speculation (e.g. on stocks) reputation (according to conventional wisdom)/estimation/esteem]'],['そうば'],人情,[' humanity/empathy/kindness/sympathy human nature/common sense/customs and manners]'],['にんじょう']
48,済民生活,済,[' arranged/taken care of/settled/completed/finished]'],"['ずみ', 'み']",民,[' nation/people]'],['たみ'],生,"[' pure/undiluted/raw/crude,', ' raw/uncooked/fresh natural/as it is/unedited/unprocessed unprotected (i.e. not wearing a condom) live (i.e. not recorded) inexperienced/unpolished/green/crude impudence/sauciness unpasteurized beer/draft beer/draught beer just a little/somehow/vaguely/partially/somewhat/half-/semi- irresponsibly/half-baked 10. cash 11. tipsiness,', ' innocent/naive/unsophisticated/inexperienced/green/wet behind the ears birth-,', ' life/living I/me/myself,', ' vital/virile/lively,', ' area of thick growth (of trees, grass, etc.),', ' boiled and half-dried bonito]']","['き', 'なま', 'うぶ', 'せい', 'いく', 'ふ', 'なまり', 'り']",活,[' living/life judo art of resuscitation action/activity]'],['かつ'],済民,[' relieving the sufferings of the people]'],['さいみん'],生活,"["" living/life (one's daily existence)/livelihood]""]",['せいかつ']
49,近憂行脚,近,[],[],憂,[],[],行,"[' line (i.e. of text)/row/verse carya (austerities) samskara (formations) running script (a semi-cursive style of kanji),', ' going/travelling (traveling) type of classical Chinese verse (usu. an epic) district (of similar merchants)/guild bank]']","['ぎょう', 'こう']",脚,"[' foot leg gait pace bottom structural component (i.e. radical) of a kanji means of transportation money/coin,', ' counter for chairs or seats]']","['あし', 'きゃく']",近憂,[],[],行脚,[' pilgrimage/traveling on foot]'],['あんぎゃ']
50,卓逸各説,卓,"[' table/desk counter for tables, desks, etc. offering table before an altar (sometimes used in tea ceremony) tabletop incense burner]']",['たく'],逸,"[' most,', ' very/excellent]']","['いっち', 'いち']",各,"[' each/every/all,', ' each you (plural)]']","['かく', 'おのおの']",説,[' theory/doctrine opinion/view rumour/rumor/gossip/hearsay]'],['せつ'],卓逸,[' excellence/superiority]'],['たくいつ'],各説,[],[]
51,主義円満,主,"[' chief/main/principal/important main secondary or supporting role (in kyogen),', "" (one's) master Lord (Christian ref. to Jesus or God) the main thing/the majority/the primary concern,"", ' head (of a household, etc.)/leader/master owner/proprietor/proprietress subject (of a rumour, etc.)/doer (of a deed) guardian spirit (e.g. long-resident beast, usu. with mystical powers)/long-time resident (or employee, etc.) husband you,', "" head (of a household)/proprietor (of a store)/proprietress/landlord/landlady one's husband (one's) employer/(one's) master host/hostess,"", ' you,', ' honorific (or familiar) suffix used after a name,', "" head (of a household)/proprietor (of a store)/proprietress/landlord/landlady/master (of a servant) entertaining someone as one's guest]""]","['おも', 'しゅ', 'ぬし', 'しゅじん', 'にし', 'す', 'あるじ']",義,[' morality/righteousness/justice/honour (honor) meaning teachings/doctrine nonconsanguineous relationship (i.e. of in-laws) prosthesis]'],['ぎ'],円,"[' yen/Japanese monetary unit circle,', "" circle entirety/whole/full/complete money/dough/moola enclosure inside a castle's walls soft-shelled turtle suffix for ship names/suffix for names of people (esp. infants)/suffix for names of swords, armour, musical instruments, etc./suffix for names of dogs, horses, etc.]""]","['えん', 'まる']",満,"[' full (years, etc.) whole/all fully enough/not lacking Manchuria]']",['まん'],主義,[' doctrine/rule/principle/-ism]'],['しゅぎ'],円満,[' perfection/harmony/peace/smoothness/completeness/satisfaction/integrity]'],['えんまん']
52,辺地之器,辺,"[' area/vicinity/region side/edge circumstances,', ' surrounding area shore (of the sea) suffix used as a rough indicator of location, direction, time, etc.]']","['へん', 'へ']",地,"[' earth/ground/land/soil place territory bottom (of a package, book, etc.) earth (one of the five elements),', ' earth/soil/dirt/clay/mud the earth (historically, esp. as opposed to the heavens)/the ground/the land low-quality torinoko-gami (containing mud) (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō),', "" ground/land/earth/soil the region in question/the local area skin texture/fabric/material/weave base/background one's true nature narrative (i.e. descriptive part of a story) real life/actuality (in the game of go) captured territory 10. noh chorus 11. (in Japanese dance) accompaniment music 12. (in Japanese music) basic phrase (usu. repetitive) 13. base part (of multiple shamisens)]""]","['ち', 'つち', 'じ']",之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",器,"[' bowl/vessel/container ability/capacity/calibre/caliber,', ' device/instrument vessel/container]']","['うつわ', 'き']",辺地,[' remote place]'],['へんち'],之器,[],[]
53,随鶏先竭,随,[],[],鶏,[' (domestic) chicken chicken (meat)]'],['にわとり'],先,"[' previous/prior/former/first/earlier/some time ago/preceding point (e.g. pencil)/tip/end/nozzle head (of a line)/front ahead/the other side the future/hereafter destination the other party,', ' former/previous/old first move (in go, shogi, etc.)/opening move]']","['さき', 'せん']",竭,[],[],随鶏,[],[],先竭,[],[]
54,安全一如,安,[' cheap rash/thoughtless/careless/indiscreet/frivolous]'],['やす'],全,[' all/whole/entire/complete/overall pan-/omni-/toti-]'],['ぜん'],一,"[' one best first/foremost beginning/start bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it""), イー', ' one,', ' most,', ' one one]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと']",如,"[' tathata (the ultimate nature of all things),', ' like/similar to/same as]']","['にょ', 'ごと']",安全,[' safety security]'],['あんぜん'],一如,[' oneness]'],['いちにょ']
55,長者得国,長,"[' height/stature length (esp. of clothing) all (one has)/everything magnificence (of a waka poem, etc.),', ' head/chief/leader/elder merit/strong point superiority major,', ' office/official chief/head (Yaeyama Islands in Okinawa) person (usually a woman) whose duty it is to officiate at religions ceremonies,', ' head/chief/leader/elder the greatest of all/the most excellent,', ' long]']","['たけ', 'ちょう', 'つかさ', 'おさ', 'なが']",者,"[' person,', ' someone of that nature/someone doing that work]']","['もの', 'しゃ']",得,"[' profit/advantage/benefit/gain rebirth in paradise, entering nirvana,', ' to get/to acquire/to obtain/to procure/to earn/to win/to gain/to secure/to attain to be possible]']","['とく', 'う']",国,"[' country/state region national government/central government home (i.e. hometown, home country) province (of Japan) land/earth]']",['くに'],長者,"["" millionaire one's superior/one's elder/one's senior virtuous and gentle person female owner of a whorehouse in a post town chief of a post town]""]",['ちょうじゃ'],得国,[],[]
56,抗戦主夫,抗,[' anti-]'],['こう'],戦,"[' war/battle/campaign/fight troops/forces,', ' war/battle match/competition]']","['いくさ', 'せん']",主,"[' chief/main/principal/important main secondary or supporting role (in kyogen),', "" (one's) master Lord (Christian ref. to Jesus or God) the main thing/the majority/the primary concern,"", ' head (of a household, etc.)/leader/master owner/proprietor/proprietress subject (of a rumour, etc.)/doer (of a deed) guardian spirit (e.g. long-resident beast, usu. with mystical powers)/long-time resident (or employee, etc.) husband you,', "" head (of a household)/proprietor (of a store)/proprietress/landlord/landlady one's husband (one's) employer/(one's) master host/hostess,"", ' you,', ' honorific (or familiar) suffix used after a name,', "" head (of a household)/proprietor (of a store)/proprietress/landlord/landlady/master (of a servant) entertaining someone as one's guest]""]","['おも', 'しゅ', 'ぬし', 'しゅじん', 'にし', 'す', 'あるじ']",夫,"[' wife my dear/dear/honey garnish (esp. one served with sashimi) embellishment,', ' husband,', ' male/man husband,', ' that he/she/that person]']","['つま', 'おっと', 'お', 'そ']",抗戦,[' resistance]'],['こうせん'],主夫,[' house-husband]'],['しゅふ']
57,嫌厭分野,嫌,[' disagreeable/detestable/unpleasant/reluctant]'],['いや'],厭,[' disagreeable/detestable/unpleasant/reluctant]'],['いや'],分,"[' minute fun (one tenth of a monme,787 grains),', ' one-tenth/one percent (one-tenth of a wari)/3 mm (one-tenth of a sun)/2.4 mm (one-tenth of a mon, a traditional unit used to measure shoe sizes)/0.1 degree (one-tenth of a do, used to measure body temperature on any temperature scale) one-quarter of a ryou (obsolete unit of currency) thickness advantageous circumstances one-tenth of a monme of silver,', "" part/segment/share/ration rate degree/one's lot/one's status/relation/duty/kind/lot in proportion to/just as much as]""]","['ふん', 'ぶ', 'ぶん']",野,[' plain/field hidden (structural) member wild lacking a political post]'],['の'],嫌厭,[],[],分野,[' field/sphere/realm/division/branch]'],['ぶんや']
58,忠孝試合,忠,[' loyalty/devotion/fidelity/faithfulness inspector of the Imperial Prosecuting and Investigating Office (ritsuryo system)]'],['ちゅう'],孝,[' filial piety]'],['こう'],試,[],[],合,"[' between-season wear/spring and autumn clothing/spring and fall clothing together condition/situation/state -ish,', '18039 litres (liters)3306 metres square (meters) one-tenth of the way from the base to the summit of a mountain conjunction counter for covered containers counter for matches, battles, etc.]']","['あい', 'い', 'ごう']",忠孝,[' loyalty and filial piety]'],['ちゅうこう'],試合,[' match/game/bout/contest]'],['しあい']
59,感覚僻見,感,[' feeling/sensation/emotion/admiration/impression interjection]'],['かん'],覚,[' Satori/folklore monster that can read minds]'],['さとり'],僻,"[' evil/untrue/erroneous,', ' prejudice/bias/warped view/jealousy/inferiority complex,', ' secluded leaning to one side]']","['ひが', 'ひがみ', 'み', 'へき']",見,"[' looking/viewing,', ' view (of life, etc.)/outlook]']","['み', 'けん']",感覚,[' sense/sensation/feeling/intuition]'],['かんかく'],僻見,[' prejudice]'],['へきけん']
60,之人之臣,之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",人,"[' -ian (e.g. Italian)/-ite (e.g. Tokyoite)/indicates nationality, race, origin, etc. -er (e.g. performer, etc.)/person working with .../indicates expertise (in a certain field) (usu. in compound words) man/person/people,', ' person,', ' man/person human being/mankind/people human (Homo sapiens)/humans as a species character/personality man of talent/true man another person/other people/others adult,', ' counter for people person]']","['じん', 'と', 'ひと', 'にん']",之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",臣,"[' retainer/attendant Omi (hereditary title; orig. one of the two highest such titles, later demoted to sixth highest of eight) I (used by a servant when speaking to his master)/me,', ' slave retainer/servant captive varlet I/me]']","['おみ', 'やつこ']",之人,[],[],之臣,[],[]
61,広才斬棘,広,[],[],才,[' -years-old ability/gift/talent/aptitude/genius]'],['さい'],斬,[' beheading/decapitation]'],['ざん'],棘,"[' thorny shrub wild rose/briar thorn cusp,', ' briars/thicket/the bush,', "" thorn/spine/prickle splinter (esp. lodged in one's flesh)/hard sharp item (esp. lodged in one's throat, e.g. fish bone) biting words]""]","['いばら', 'おどろ', 'とげ']",広才,[],[],斬棘,[],[]
62,姑息曲直,姑,[' mother-in-law]'],['しゅうとめ'],息,"[' breath/breathing tone/mood,', ' son penis]']","['いき', 'むすこ']",曲,"[' song/tune/composition/piece of music,', ' corner/nook/recess a shadow/a shade,', ' wickedness/evil/calamity/disaster,', ' long segment of a noh play forming its musical highlight wrong/improper/indecent]']","['きょく', 'くま', 'まが', 'くせ']",直,"[' straight ordinary/common doing nothing,', ' earnestly/immediately/exactly,', ' price/cost value/worth/merit value/count/number variable (computer programming, programing),', ' soon/in a moment/before long/shortly nearby/close direct spot transaction/cash transaction,', ' direct/in person/frankness/honesty/simplicity/cheerfulness/correctness/being straight night duty/shift (e.g. in a factory),', ' Atai (post-Taika hereditary title often given to regional administrators),', ' direct,', ' straight/direct]']","['なお', 'ひた', 'あたい', 'じき', 'ちょく', 'あたい', 'じか', 'ただ']",姑息,[' underhanded/unfair makeshift/stopgap]'],['こそく'],曲直,[' merits (of a case)/right or wrong]'],['きょくちょく']
63,空前思源,空,"[' emptiness/vacuum/blank,', ' sky/the air/the heavens weather far-off place/distant place state of mind/feeling (from) memory/(by) heart falsehood/lie somehow/vaguely fake,', ' hollow/cavity/hole,', ' empty air/sky shunyata/emptiness/the lack of an immutable intrinsic nature within any phenomenon air force fruitlessness/meaninglessness void (one of the five elements) empty (e.g. set)]']","['から', 'そら', 'うろ', 'くう']",前,"[' previous/prior/former/first/earlier/some time ago/preceding point (e.g. pencil)/tip/end/nozzle head (of a line)/front ahead/the other side the future/hereafter destination the other party,', ' the last (i.e. immediately preceding) (e.g. ""the last mayor"")/previous/one-time/former pre- (e.g. ""premodern"") before/earlier,', ' ago/before (some event)/previously/(minutes) to (the hour) in front (of)/before (e.g. the house) head (of a line)/front (e.g. of a bus)/fore part in the presence of helping/portion privates/private parts]']","['さき', 'ぜん', 'まえ']",思,[],[],源,"[' source (of a river)/fountainhead source/origin/root,', ' source/origin]']","['みなもと', 'げん']",空前,[' unprecedented/record-breaking]'],['くうぜん'],思源,[],[]
64,則乱貧富,則,[' counter for rules rule/regulation]'],['そく'],乱,[' revolt/rebellion/war]'],['らん'],貧,[' poverty/becoming poor/living in poverty]'],['ひん'],富,[' riches/wealth/fortune resources lottery]'],['とみ'],則乱,[],[],貧富,[' wealth and poverty/rich and poor]'],['ひんぷ']
65,規矩強記,規,[],[],矩,"[' quadrature,', "" carpenter's square perpendicularity/straightness model/standard]""]","['く', 'かね']",強,[' a little over/a little more than powerhouse/one of the biggest/one of the most powerful]'],['きょう'],記,[' account/history/chronicle/annals/record Records of Ancient Matters]'],['き'],規矩,[' rule/standard/compass and ruler]'],['きく'],強記,[' retentive memory]'],['きょうき']
66,不落小説,不,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']",落,[' slip/omission outcome/final result/the end punch line (of a joke)]'],"['おち', 'ち']",小,"[' smallness/small item short month (i.e. having fewer than 31 days) elementary school younger or inferior (of two items or people with the same name) unit of field area (approx. 400 sq m),', ' small/little/slight slightly less than/just about somewhat/somehow minor (sometimes derogatory)/petty,', ' small/narrow familiar prefix slightly/a bit,', ' small/little, ぐゎー', ' small/little/dear (figurative sense),', ' narrow/thin]']","['しょう', 'こ', 'お', 'ささ', 'ぐゎ', 'さ']",説,[' theory/doctrine opinion/view rumour/rumor/gossip/hearsay]'],['せつ'],不落,[' impregnable]'],['ふらく'],小説,[' novel/(short) story]'],['しょうせつ']
67,作戦迂遠,作,[' work (e.g. of art)/production harvest/cultivation/farming/crop/yield technique]'],['さく'],戦,"[' war/battle/campaign/fight troops/forces,', ' war/battle match/competition]']","['いくさ', 'せん']",迂,[],[],遠,[' distant]'],['とお'],作戦,[' tactics/strategy military or naval operations]'],['さくせん'],迂遠,[' roundabout/devious]'],['うえん']
68,一番失墜,一,"[' one best first/foremost beginning/start bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it""), イー', ' one,', ' most,', ' one one]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと']",番,"["" number (in a series) (one's) turn watch/guard/lookout bout/match,"", ' (one) pair (e.g. of birds)/brace/couple joint/hinge]']","['ばん', 'つがい', 'い']",失,[],[],墜,[],[],一番,"[' number one/first/first place best/most game/round/bout as a test/as an experiment/by way of experiment/by way of trial/tentatively song (e.g. in noh)/piece,', ' pair/couple/brace]']","['いちばん', 'ひとつがい']",失墜,"["" abasement/fall/forfeiture/sinking (in people's estimation)]""]",['しっつい']
69,貴賎迂遠,貴,"[' value/preciousness/nobility,', ' honorific, familiar suffix,', ' lord/god/goddess/honorific title for deities (and high-ranking people)]']","['とうと', 'き', 'むち']",賎,[],[],迂,[],[],遠,[' distant]'],['とお'],貴賎,[' high and low/all ranks]'],['きせん'],迂遠,[' roundabout/devious]'],['うえん']
70,瓦鶏紳商,瓦,"['[グラム', ' gram/gramme,', ' roof tile]']",['かわら'],鶏,[' (domestic) chicken chicken (meat)]'],['にわとり'],紳,[],[],商,[' quotient dealing/dealer/store second degree (of the Japanese & Chinese pentatonic scale) Shang (dynasty of China)]'],['しょう'],瓦鶏,[],[],紳商,[' a wealthy merchant]'],['しんしょう']
71,主義刻鏤,主,"[' chief/main/principal/important main secondary or supporting role (in kyogen),', "" (one's) master Lord (Christian ref. to Jesus or God) the main thing/the majority/the primary concern,"", ' head (of a household, etc.)/leader/master owner/proprietor/proprietress subject (of a rumour, etc.)/doer (of a deed) guardian spirit (e.g. long-resident beast, usu. with mystical powers)/long-time resident (or employee, etc.) husband you,', "" head (of a household)/proprietor (of a store)/proprietress/landlord/landlady one's husband (one's) employer/(one's) master host/hostess,"", ' you,', ' honorific (or familiar) suffix used after a name,', "" head (of a household)/proprietor (of a store)/proprietress/landlord/landlady/master (of a servant) entertaining someone as one's guest]""]","['おも', 'しゅ', 'ぬし', 'しゅじん', 'にし', 'す', 'あるじ']",義,[' morality/righteousness/justice/honour (honor) meaning teachings/doctrine nonconsanguineous relationship (i.e. of in-laws) prosthesis]'],['ぎ'],刻,"[' scratch,', ' archaic period of time (usu. a period of approx. two hours corresponding to one of the signs of the Chinese zodiac) carving/engraving/cutting/mincing victory strictness/cruelty,', ' time/hour/moment occasion/case chance/opportunity/season the times/the age/the day tense]']","['きざ', 'こく', 'とき']",鏤,[],[],主義,[' doctrine/rule/principle/-ism]'],['しゅぎ'],刻鏤,[],[]
72,次第辛苦,次,"[' next/following/subsequent stage/station,', ' next hypo- (i.e. containing an element with low valence) order/sequence/time/times]']","['つぎ', 'じ']",第,[' prefix for forming ordinal numbers]'],['だい'],辛,[' 8th in rank/eighth sign of the Chinese calendar]'],['かのと'],苦,[' pain/anguish/suffering/distress/anxiety/worry/trouble/difficulty/hardship duhkha (suffering)]'],['く'],次第,[' depending on as soon as/immediately (upon) in accordance with order/program/programme/precedence circumstances/course of events/reason]'],['しだい'],辛苦,[' hardship/toil/trouble]'],['しんく']
73,失大身命,失,[],[],大,"[' big/large,', ' the large part of big/large/great approximate size/no larger than -university large (e.g. serving size)/loud (e.g. volume setting),', ' great/grand/large greater (of equal court ranks)/upper/senior a great deal/very much,', ' greater (of equal court ranks)/upper/senior a great deal/very much]']","['おお', 'だい', 'おおき', 'き', 'おおい', 'い']",身,"["" body oneself one's place/one's position main part/meat (as opposed to bone, skin, etc.)/wood (as opposed to bark)/blade (as opposed to its handle)/container (as opposed to its lid),"", ' (dead) body/corpse]']","['み', 'むくろ']",命,"[' life/life force lifetime/lifespan most important thing/foundation/core paired tattoos of the ""life"" kanji on the upper arms of a man and woman (indicating unwavering love) fate/destiny/karma,', ' command/decree life destiny,', ' Lord/Highness you,', ' the spoken words of the emperor or a noble]']","['いのち', 'めい', 'みこと', 'みこと']",失大,[],[],身命,"["" one's life]""]",['しんめい']
74,無双花舞,無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",双,"[' pair,', ' both many/various/all together]']","['そう', 'もろ']",花,[' flower/blossom/bloom/petal cherry blossom beauty blooming (esp. of cherry blossoms) ikebana Japanese playing cards (the) best]'],['はな'],舞,[' dancing/dance]'],['まい'],無双,[' peerless/unparalleled/unparallelled/matchless]'],['むそう'],花舞,[],[]
75,取引巷説,取,"[' taking/taker/collecting/collector/remover/removal last performer of the day (usu. the star performer)/last performance of the day active partner (e.g. in judo demonstration) emphatic or formal prefix,', ' samurai receiving this much rice as a fee offering of rice cake containing this much rice person receiving this amount of money as a salary,', ' appropriation/obtaining]']","['とり', 'り', 'どり', 'り', 'しゅ']",引,[],[],巷,"[' the public/the street (e.g. ""word on the street"") street/district/quarters location (e.g. of a battle)/scene (e.g. of carnage) divide (e.g. between life and death) fork (in a road)/crossroads]']",['ちまた'],説,[' theory/doctrine opinion/view rumour/rumor/gossip/hearsay]'],['せつ'],取引,[' transactions/dealings/business]'],['とりひき'],巷説,[' gossip/talk about town]'],['こうせつ']
76,湯池戴月,湯,"[' hot water hot bath/hot spring molten iron, タン', ' soup]']",['ゆ'],池,[' pond]'],['いけ'],戴,[],[],月,"[' moon month,', ' month (of the year)/used after number or question word (e.g. nan or nani),', ' Monday]']","['つき', 'がつ', 'げつ']",湯池,[],[],戴月,[],[]
